AgeClass	sex	mean	sd	num
2	1	28.7	2.29	9
3	1	40	6.88	21
4	1	49.3	11.76	34
5	1	67.3	17.82	43
6	1	82.6	22.41	68
7	1	90.4	18.69	82
8	1	100.3	18.23	94
9	1	105.8	20.57	105
10	1	104.5	19.31	66
11	1	113	21.18	66
12	1	111.6	17.92	73
13	1	115.3	21.93	64
14	1	120	20.17	48
15	1	114.4	15.8	45
16	1	122.4	21.56	39
17	1	115.8	15.93	17
18	1	129.7	17.22	18
19	1	126.1	13.13	11
20	1	139.6	24.85	10
21	1	123	14.23	8
22	1	135	15.17	7
23	1	127	22.85	5
24	1	148	23.76	12
25	1	138.4	9.74	13
26	1	145.6	23.18	5
27	1	138	10.54	3
28	1	139	12.73	2
29	1	153	12.12	3
30	1	134.6	14.1	5
31	1	157	NA	1
32	1	153.5	24.75	2
34	1	NA	NA	NA
35	1	NA	NA	NA
37	1	NA	NA	NA
38	1	NA	NA	NA
42	1	148	NA	1
50	1	150	NA	1
2	2	27.4	5.17	14
3	2	43.8	9.85	16
4	2	47.8	8.71	34
5	2	73.2	18.7	53
6	2	92.2	18.96	99
7	2	102.7	15.66	142
8	2	112.2	18.94	152
9	2	117.5	21.43	152
10	2	126	21.89	124
11	2	131.6	24.37	117
12	2	137	22.11	125
13	2	147.7	18.43	67
14	2	153.5	16.97	74
15	2	156.9	20.97	51
16	2	161.8	19.87	38
17	2	164.1	15.85	19
18	2	164.7	19.54	19
19	2	176.4	9.94	8
20	2	180.5	15.81	11
21	2	178.5	14.63	6
22	2	186.9	20.74	16
23	2	182.2	17.92	13
24	2	188.4	11.8	11
25	2	189.4	15.54	10
26	2	189.4	10.04	5
27	2	196.6	13.81	5
28	2	196.6	16.97	8
29	2	202	8.66	4
30	2	194.5	24.25	3
31	2	200.5	10.61	2
32	2	179.5	19.09	2
34	2	193	NA	1
35	2	211	NA	1
37	2	208	NA	1
38	2	187	NA	1
42	2	NA	NA	NA
50	2	NA	NA	NA
