sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP
1,10,1,14,1,10,1,14,91,0
2,10,1,15,1,10,1,14,210,0
1,11,1,11,1,10,1,14,154,0
2,11,1,15,1,10,1,14,210,0
1,12,1,10,1,10,1,14,140,0
2,12,1,19,1,10,1,14,266,0
1,13,1,11,1,10,1,14,154,0
2,13,1,11,1,10,1,14,154,0
1,14,1,11,1,10,1,14,154,0
2,14,1,11,1,10,1,14,154,0
1,15,1,10,1,10,1,14,140,0
2,15,1,14,1,10,1,14,196,0
1,10,2,12,1,10,1,14,168,0
2,10,2,11,1,10,1,14,154,0
1,11,2,15,1,10,1,14,210,0
2,11,2,14,1,10,1,14,196,0
1,12,2,14,1,10,1,14,196,0
2,12,2,10,1,10,1,14,140,0
1,13,2,10,1,10,1,14,140,0
2,13,2,14,1,10,1,14,196,0
1,14,2,17,1,10,1,14,238,0
2,14,2,20,1,10,1,14,280,0
1,15,2,13,1,10,1,14,182,0
2,15,2,20,1,10,1,14,280,0
1,10,3,19,1,10,1,14,266,0
2,10,3,19,1,10,1,14,266,0
1,11,3,21,1,10,1,14,294,0
2,11,3,22,1,10,1,14,308,0
1,12,3,13,1,10,1,14,182,0
2,12,3,14,1,10,1,14,196,0
1,13,3,27,1,10,1,14,378,0
2,13,3,23,1,10,1,14,322,0
1,14,3,19,1,10,1,14,266,0
2,14,3,22,1,10,1,14,308,0
1,15,3,24,1,10,1,14,336,0
2,15,3,16,1,10,1,14,224,0
1,10,4,18,1,10,1,14,252,0
2,10,4,20,1,10,1,14,280,0
1,11,4,20,1,10,1,14,280,0
2,11,4,20,1,10,1,14,280,0
1,12,4,27,1,10,1,14,378,0
2,12,4,22,1,10,1,14,308,0
1,13,4,28,1,10,1,14,392,0
2,13,4,15,1,10,1,14,210,0
1,14,4,30,1,10,1,14,420,0
2,14,4,18,1,10,1,14,252,0
1,15,4,26,1,10,1,14,364,0
2,15,4,16,1,10,1,14,224,0
1,10,5,19,1,10,1,14,266,0
2,10,5,18,1,10,1,14,252,0
1,11,5,24,1,10,1,14,336,0
2,11,5,15,1,10,1,14,210,0
1,12,5,25,1,10,1,14,350,0
2,12,5,18,1,10,1,14,252,0
1,13,5,19,1,10,1,14,266,0
2,13,5,21,1,10,1,14,294,0
1,14,5,15,1,10,1,14,210,0
