sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP,SOPs
1,10,1,11,1,10,1,11,55,0,0
2,10,1,16,1,10,1,11,176,0,0
1,11,1,13,1,10,1,11,143,0,0
2,11,1,12,1,10,1,11,132,0,0
1,12,1,9,1,10,1,11,99,0,0
2,12,1,16,1,10,1,11,176,0,0
1,13,1,8,1,10,1,11,88,0,0
2,13,1,12,1,10,1,11,132,0,0
1,14,1,15,1,10,1,11,165,0,0
2,14,1,21,1,10,1,11,231,0,0
1,15,1,16,1,10,1,11,176,0,0
2,15,1,18,1,10,1,11,198,0,0
1,10,2,13,1,10,1,11,143,0,0
2,10,2,9,1,10,1,11,99,0,0
1,11,2,15,1,10,1,11,165,0,0
2,11,2,17,1,10,1,11,187,0,0
1,12,2,14,1,10,1,11,154,0,0
2,12,2,16,1,10,1,11,176,0,0
1,13,2,13,1,10,1,11,143,0,0
2,13,2,10,1,10,1,11,110,0,0
1,14,2,12,1,10,1,11,132,0,0
2,14,2,10,1,10,1,11,110,0,0
1,15,2,9,1,10,1,11,99,0,0
2,15,2,17,1,10,1,11,187,0,0
1,10,3,21,1,10,1,11,231,0,0
2,10,3,29,1,10,1,11,319,0,0
1,11,3,19,1,10,1,11,209,0,0
2,11,3,27,1,10,1,11,297,0,0
1,12,3,20,1,10,1,11,220,0,0
2,12,3,22,1,10,1,11,242,0,0
1,13,3,22,1,10,1,11,242,0,0
2,13,3,21,1,10,1,11,231,0,0
1,14,3,28,1,10,1,11,308,0,0
2,14,3,19,1,10,1,11,209,0,0
1,15,3,16,1,10,1,11,176,0,0
2,15,3,17,1,10,1,11,187,0,0
1,10,4,19,1,10,1,11,209,0,0
2,10,4,10,1,10,1,11,110,0,0
1,11,4,20,1,10,1,11,220,0,0
2,11,4,21,1,10,1,11,231,0,0
1,12,4,18,1,10,1,11,198,0,0
2,12,4,15,1,10,1,11,165,0,0
1,13,4,32,1,10,1,11,352,0,0
2,13,4,23,1,10,1,11,253,0,0
1,14,4,17,1,10,1,11,187,0,0
2,14,4,21,1,10,1,11,231,0,0
1,15,4,26,1,10,1,11,286,0,0
2,15,4,21,1,10,1,11,231,0,0
1,10,5,14,1,10,1,11,154,0,0
2,10,5,17,1,10,1,11,187,0,0
1,11,5,25,1,10,1,11,275,0,0
2,11,5,16,1,10,1,11,176,0,0
1,12,5,29,1,10,1,11,319,0,0
2,12,5,18,1,10,1,11,198,0,0
1,13,5,23,1,10,1,11,253,0,0
2,13,5,19,1,10,1,11,209,0,0
1,14,5,18,1,10,1,11,198,0,0
2,14,5,23,1,10,1,11,253,0,0
1,15,5,21,1,10,1,11,231,0,0
2,15,5,28,1,10,1,11,308,0,0
1,10,6,17,1,10,1,11,187,0,0
2,10,6,13,1,10,1,11,143,0,0
1,11,6,10,1,10,1,11,110,0,0
2,11,6,9,1,10,1,11,99,0,0
1,12,6,16,1,10,1,11,176,0,0
2,12,6,18,1,10,1,11,198,0,0
1,13,6,9,1,10,1,11,99,0,0
2,13,6,19,1,10,1,11,209,0,0
1,14,6,16,1,10,1,11,176,0,0
2,14,6,18,1,10,1,11,198,0,0
1,15,6,9,1,10,1,11,99,0,0
2,15,6,13,1,10,1,11,143,0,0
1,10,7,10,1,10,1,11,110,0,0
2,10,7,4,1,10,1,11,44,0,0
1,11,7,12,1,10,1,11,132,0,0
2,11,7,10,1,10,1,11,110,0,0
1,12,7,13,1,10,1,11,143,0,0
2,12,7,2,1,10,1,11,22,0,0
1,13,7,8,1,10,1,11,88,0,0
2,13,7,3,1,10,1,11,33,0,0
1,14,7,6,1,10,1,11,66,0,0
2,14,7,6,1,10,1,11,66,0,0
1,15,7,9,1,10,1,11,99,0,0
2,15,7,5,1,10,1,11,55,0,0
1,10,8,12,1,10,1,11,132,0,0
2,10,8,5,1,10,1,11,55,0,0
1,11,8,12,1,10,1,11,132,0,0
2,11,8,10,1,10,1,11,110,0,0
1,12,8,8,1,10,1,11,88,0,0
2,12,8,5,1,10,1,11,55,0,0
1,13,8,10,1,10,1,11,110,0,0
2,13,8,6,1,10,1,11,66,0,0
1,14,8,10,1,10,1,11,110,0,0
2,14,8,6,1,10,1,11,66,0,0
1,15,8,9,1,10,1,11,99,0,0
2,15,8,6,1,10,1,11,66,0,0
1,10,9,12,1,10,1,11,132,0,0
2,10,9,11,1,10,1,11,121,0,0
1,11,9,9,1,10,1,11,99,0,0
2,11,9,9,1,10,1,11,99,0,0
1,12,9,11,1,10,1,11,121,0,0
2,12,9,10,1,10,1,11,110,0,0
1,13,9,10,1,10,1,11,110,0,0
2,13,9,5,1,10,1,11,55,0,0
1,14,9,13,1,10,1,11,143,0,0
2,14,9,11,1,10,1,11,121,0,0
1,15,9,10,1,10,1,11,110,0,1
2,15,9,10,1,10,1,11,110,0,0
1,10,10,9,1,10,1,11,99,0,0
2,10,10,11,1,10,1,11,121,0,0
1,11,10,17,1,10,1,11,187,0,0
2,11,10,8,1,10,1,11,88,0,0
1,12,10,9,1,10,1,11,99,0,0
2,12,10,3,1,10,1,11,33,0,0
1,13,10,11,1,10,1,11,121,0,0
2,13,10,14,1,10,1,11,154,0,0
1,14,10,4,1,10,1,11,44,0,0
2,14,10,13,1,10,1,11,143,0,0
1,15,10,12,1,10,1,11,132,0,0
2,15,10,9,1,10,1,11,99,0,0
1,10,11,13,1,10,1,11,143,0,0
2,10,11,11,1,10,1,11,121,0,0
1,11,11,10,1,10,1,11,110,0,0
2,11,11,10,1,10,1,11,110,0,0
1,12,11,14,1,10,1,11,154,0,0
2,12,11,11,1,10,1,11,121,0,0
1,13,11,15,1,10,1,11,165,0,0
2,13,11,7,1,10,1,11,77,0,0
1,14,11,6,1,10,1,11,66,0,0
2,14,11,10,1,10,1,11,110,0,0
1,15,11,12,1,10,1,11,132,0,0
2,15,11,10,1,10,1,11,110,0,0
1,10,12,11,1,10,1,11,121,0,0
2,10,12,7,1,10,1,11,77,0,0
1,11,12,11,1,10,1,11,121,0,0
2,11,12,9,1,10,1,11,99,0,0
1,12,12,11,1,10,1,11,121,0,0
2,12,12,6,1,10,1,11,66,0,0
1,13,12,12,1,10,1,11,132,0,0
2,13,12,7,1,10,1,11,77,0,0
1,14,12,7,1,10,1,11,77,0,0
