Sex	Length	Age
2	166	32
1	139	17
1	97	12
2	93	9
1	86	5
1	74	6
1	85	8
1	120	9
1	95	9
2	108	8
2	114	9
1	124	19
1	130	28
1	139	20
1	202	20
1	133	17
1	136	17
1	112	10
2	202	30
2	83	8
2	84	7
1	86	9
2	92	7
1	105	12
1	117	15
1	122	14
1	129	16
2	128	12
2	134	12
2	153	13
2	138	13
2	159	12
2	178	28
2	186	18
2	145	12
2	156	12
1	167	12
2	174	15
1	169	18
2	169	14
2	178	15
2	181	19
2	79	5
1	79	11
1	94	21
1	103	14
1	115	13
1	118	14
1	118	11
2	127	9
1	130	14
2	145	14
2	157	16
2	163	14
2	166	14
1	79	13
1	106	13
2	106	12
1	109	16
1	109	9
1	121	13
1	127	16
1	133	14
1	148	13
1	151	20
2	157	12
2	178	22
1	184	26
2	217	23
1	79	6
2	97	10
1	97	7
1	100	9
1	103	14
1	103	17
2	109	9
1	109	9
2	124	22
1	124	7
2	127	8
1	127	11
1	127	15
1	130	9
2	130	9
2	130	11
2	130	12
1	130	8
2	130	8
2	133	12
2	133	10
2	136	14
1	136	18
1	139	25
1	142	22
1	151	11
2	163	11
2	187	38
2	196	26
2	202	26
2	217	28
1	112	14
2	130	9
2	136	12
2	184	25
2	159	12
2	118	8
2	175	19
1	97	9
1	115	9
1	118	13
1	118	12
1	94	10
1	97	16
1	100	9
1	100	15
2	88	7
2	88	8
2	103	10
1	118	11
2	157	11
1	82	12
1	85	9
2	91	9
2	100	9
2	100	7
1	103	14
1	106	12
1	109	16
2	115	12
2	50	3
1	39	3
1	103	13
1	58	6
1	124	17
1	133	14
2	148	13
2	151	12
2	157	18
2	172	13
1	94	9
2	94	10
1	97	12
1	97	17
1	106	10
1	109	10
2	115	10
2	121	12
1	124	15
2	124	12
2	127	9
2	127	8
2	130	15
2	130	11
2	136	10
2	136	16
2	145	15
2	157	15
2	184	24
2	190	21
2	112	11
1	124	8
1	124	10
1	130	10
2	151	14
2	166	12
2	184	21
2	193	31
2	94	12
1	127	24
2	139	10
2	139	10
1	139	9
1	142	12
2	145	11
1	148	25
2	148	16
2	154	12
2	196	29
2	196	22
2	208	26
2	211	28
1	88	9
2	94	6
2	103	9
1	112	11
1	115	9
2	124	10
1	130	25
1	136	20
1	142	29
2	145	8
2	52	6
2	105	7
1	94	10
1	87	9
1	82	6
1	78	14
1	91	9
1	86	9
1	103	23
1	103	16
2	121	11
2	106	7
1	85	9
2	82	10
1	85	9
2	85	7
1	88	6
2	100	9
2	103	10
1	106	14
2	109	11
1	112	8
2	115	6
2	121	8
1	127	12
1	82	8
1	94	10
1	74	5
2	115	8
1	88	10
2	154	13
2	94	10
2	115	7
2	94	7
1	103	12
2	91	6
2	106	12
2	106	6
1	55	5
1	93	9
1	96	7
1	108	9
2	169	14
2	166	16
1	82	7
2	82	6
1	109	11
2	121	8
2	124	7
1	106	9
2	124	7
2	124	11
1	124	7
1	103	10
2	115	6
1	136	10
2	127	9
1	82	5
2	82	6
2	91	6
2	100	6
2	100	5
